"Strings","AES_encrypted"
"The telephoto gives an enlargement of about six diameters of the image thrown by eight-inch lens, and three diameters increase of that of the fourteen-inch lens.","b'C\x91\xdc\xa5\xcblw\xd9@Mt\x00\xcc\xd2l\xb6,\xf9g\x15$\xd3\xd6\xe2n\x1c\xc0\xeb\xcd5\x0e\x84\xd1\x8fU\x15q7+\x14\xf3""(:\x1b]\xb7\x13\x00\x07\xf8\xc4\xd0W\xb9\xe1\xac\xb5\xf52\x18\xc0\xde\xd7\xf1\xd2\xf3,O\x18OR\\\xb8\x9eLyd\xb5\x8c\xab\xc7z\xf8|\xd6ez\x9f\xf3\x84\xc9\x1f\xc2f\x0cZ\xd8`=\xb2+\x83\x9e\x13&\xd2\x87`\x0b(\xecW\xa0\xc7uQb\x8a2|n9\xbdC\xc61e\xb7\x9am C\xec\x1fu]5\x016\x19x\x08\xf0v%w\xd6\xff\xceS>\x9fL\x99\x1c\xd5J\x92\xd0s\xcf\n\xdc\x8a\xe2ve\xa3\xb3uX\x06\xee\x90\x03\xc8\x88u\xb1p\x03\xa6\xad""\xf8\x19kp\xf0\xedI'"
"Having now made three good negatives in the field, we may, by enlargement, improve on the image of the bird obtained.","b'Z\xe3)\x81?\x89O\xe1q\x17\xee\x04|\'\xfa\xc8$\xe2RR\xf8\xd7\xf5mU\xed#\xf9C\xe2X\xbe2\x9f\x17\xb3O\x07ml\xe8\x89\xf67[\xf0\xd9J\xa9\x84\xa3\xd6\xc9!3\xca:(M!\xd68\x18W\xd6\x01\x97q*\xaf\x86\xf2\xa3\xb2\xedZM\xfc\xd6\xa7\xa8\x8a\xb7\xb1o\x04WQ\x180\x8d\xe7\xab\x15Z\xef\x12\xe6\x05\x154d\x15\xda\xcaU\xd3Y#v\\\t""\xf6r\x94\x82\xe59\xedi4D\xdcn\xe2\xc5\xca\x14\x80\x01O9%@\x84\x06O\xf3}\x01\xfe{>'"
"The possibilities in this direction are clearly shown by the three enlargements accompanying the contact prints from their respective negatives.","b""e\xe4\xc2~\x1cb\x01m\x99\x0b&\x9d\x81\xf8\x80\xab\xec\x02\xdd\xec\x80\x1cR\x04\x82\x92\xac\xf6\x93\xad\xe4\xc7\xb8>\xc5\xdc\x04\xe8{\x9dl\x9b\xf1\xc24\xfb\xb18\x91\xc9\xa7\xe3\xb3?s#\xde\x18*\xbb\xf8^\x0b\x81\xc5\x90\xde\xff\x8a\xb6\xad\xdf\xb6\xfcI!\xb9\x1d%\xf9\x94\xab\xf6\x9148\x95\x8fIT\xe8f\xe4\x82\x967p\xb6mc\x81z\xc8\x82M\xefl\xa9\xc6\xa8\xcd\x1dy\x9d\xb1\xb1r\xbd<Y'\xd2\xd5e\xf4\xa3\xccU?^z\xd4*\xd7\xfa\xcf*\xd3\x17g\xae\xdc\xf6Q\xc20&L\xbc<\xc4\xc47\xcf\xe6/g\xd3\x96\xd3\x8a\xbb!we\xa0K\xf7\xfd\xbehKm\xc4\xc5\xa5"""
"In each instance the enlargement is about three diameters, and the telephoto negative of course furnishes the most satisfactory picture.","b""\xb7U&\xc7\xe2\xc6\xd4]U\x98\x9a\xffE\xe9\x022i\xf7P\xbfA\xa3\xa9Z\xae'\x18$R\xc4\x0e\xb46\xaf\x00j\x95\x19}\xc4j\x00\xe78\xe9\xa5\x05\xe6\xe6\x91+\xf0\x06\xf1\xdbKE\xfe\xe0Z\xe1\xae\xd7-\x87\xe8U\x13\t\x05\xa1\xc4wU24U\xc3\xd6S\x06\x16\xf1u\xad\x85\xcf\xe4\xf1\x1b\xf3\xd8\x19qf\xbcY\x9b\xa4%\x1a/@\x06i\xe4A=}\x93\x95\x0cWmZ\xd7\x06\r\xb3/\x1d\xd6Y\x83ll\xfeB\x06 \xdb\xec\xee\xb9V\xcb\xe2'\x90BJ#\x93\xb17{T\x8c\x194\x1d\xe7\xfb#\xc9\x12\x81\xf7\x13\xc1"""
"When the difficulties of telephotography are considered, however, and the ¹⁄₂₅-second exposure of the fourteen-inch lens, which permits of hand work, is compared with the one second of the telephoto, we believe that for general work in photographing 19birds a lens having a focal length of at least fourteen inches will be found the most satisfactory.","b'\xc9l\xfb\x1c\xdc\xcd\xc4\xba\x1b\xd6\x90\xc9{""\xbe[\xe6.\x81S1\x05G\x0c\x8f\xc1\xadX\xf5\'\xa4\xe4o\x83\xd8/\x1a\x91\xff\x8f\x8d\xc9\xa5\xef\xed\x85y\x1b\x10\xc9\xc4I\x17c\x8bLNk\xf9\xf1M\xbaV\x8f\xf2\x86<nT\x9c\x9c(\xed\xc9Y}\xe3\xbb\xafW\xe3m\xf3ao\xb2\x14\x0b\x96y\x8e\\^\x01X6\x90r\xdb\x07\xf2O\x19V\xef+T\xe4\x9c\x02\xce\xf5@\xbf\x7f(84]\xe5+^m\x9fe\xbb=\xaa\xf0\xc2\xc6\xe55\xd8\xf7>\x02g\xd7\x17,\xb0.P\xf0\x97\xf8\x03\xa78*\x87\x84\xaf\x16w\xf4\xc528\xeb\x98\xac\xef\xe1\x97\x19\xae![\x12\xc6\xc2g\x88\xafF\x8e\x95\x80R\x7fW\x06\x1f\x0b\xfa\xc1:\x07\xf2\xeb\xe3Rt\x9b\xad\xd0r\xfd,\xc9G\xa6\x85a{:o\xb4\xe8\xf7Klo\xb9v\xccu\xc6\xda\xfd\xd1\t\xc5<,\xf7\xa8\xc5B\xdbKB\xe8\x8fxD\xe6\x9b\xfa\xaa\x00l$@8\xe4la>\xf1d\x99a\xe9\xf4\xf7\x9f\x8a\x8cY\x14\x9cXa\xd1""\x8dWv\x1f\xa9\xd2\x90\xe9\xff\xce\xcdXW\xea\x9brH_(\x902\xbc\xb5\xd7\x99\xae\xc7\xcb\r\xc5!\xe1\xb9*{\xd4\xfaj\x03""\x0e6B\xdc\xb6Z\xcf)\xb6\xa0563\x83\x99\xe0&Ke\xd9\xb9\xd3e]8\xe4O\xf7x\x9f\x1f\x8a\xe6\xa8\xa2\x10?wc\xd9\xf7v\xe8\xfe\x95\x81\x94\x91Q\x80\xcd\xe8AsV\xc4\xb1[\x9f\xe0\xadO\xec\x92\xcc\xaa\x11J\x1bu~\x0fs\x00\xfb7'"
"It should be added that, in order to make them wholly comparable, the three contact prints as well as the enlargements were made on enameled bromide paper.","b""\xb7\xdb\xb7\x8f?\xca\xefY\xc02/\x88\x05\xca\xc2\x98\xca\xd2\x8b\x88\x83\x12\xeb7\xae\xff\x9b]\x0eI*!\xcc\xd9\x05\xe8\x1a>\x10\x99\x03\x10v\xf2`\xe0\x03v\x19\xfb\xffH\x95\x01|\xdc\xd1\xd02\xff'\xb9\x1e~\xb5\r\xc4S\xfd\xb8\xa7\xb1\xa3\xe70\x90\xb7\xc1^\xd3\x03\xc9\x81\xf7D(\xdd\x84\x05d\xd2$\xf4z\xb2\xfe>S\xf1\xa0k\x91JP$@Cn7\x9a\x00\x8d\xd8\x9c\x8dN\xb3\x9e\xa4\xeeu\x96!,\x7f\xb4xv\xecu5\x0fg\x86\xbe\xf1\xe8x,\x96\xadNfI\xf7\xd4\x06\xb1\x05\xa9 \xd3U\x1c\xbcD\xb0p\xb1\xf3\x10\xbd7\x8b\xbcf\xe3_\x89p\x16\xcb@\x00\x80\x82"""
"—For fairly rapid, slow, and time exposures, a lens shutter, such as is sold with trade cameras, will be found suitable.","b'\xc5x\x05\xfa\xddn\x94\x18\x10\xd9L\x86i\x961\x04\xf3k""\xa8S]\xa5\x96\xe6\x90\xd2\x0cj\x81r\xa6k\xfa\xf3\xfc\x06\xd9\x95tT\xd6>\x87""B\x0f\xf3\xc3\xf9\xdfj\xc4\xfc\xe2\'\x8c\x8f\x1f.\x98\xec}\xb7,\xd1\xc7ZS\x1d\xb9_\xb1\xdf\xedn\x14;\xb3g\x01\x0e\xb8\x18\xf7\xe2y\xce\x85Hy\x89\xfcKcy\x90\xd7\xca\xc4\xf1\xee\x98X\xac\'\x92\xdf\x945V\xe4\x83\xf2\xa8\x7f _\xd4\xf0P\xb49\x1f\xe1\x16\x9e\x1fH^\xef\xa6\x7fK`X;z@jV^A\xb3'"
"The “Iris Diaphragm” shutter is noiseless 20when used for slow exposures of two or three seconds, a matter of much importance in making time pictures of sitting birds, who are apt to turn their head if they hear the click of the shutter.","b'\x97O\xb8\xae\xe7s\xd0\xd51\xfa\xcf\x1b\x91\xc2g\xb6\xfd\x13KL[\x18~Q\xc7\xd1\xc1\x88@X\xfc8E\xa6\xf0y\x85\x88\xd2\xfd$""\xc6\x0f{\x0e\xf0\x9d9c\xc8g\xce\xf5\xd4p\x90\x9bb9\x87\xff{\x07\x97\xae\xa5\xc1P\xa5\xf5.\x91\xdbN\x01r\xb5\x8d\xa4\x13\xff\xc6T\xe9\xf0\xc9\x06\xa5\xad\x9ciCO<dG\xbd\xd4\x9fq#\x1c9K \xe9\x88\x12\x0e\xda\x03\x1e\x04\xfe\xff\x08\xe6r\xa5.\xe1_\x89nb\xdb\xd6\xfe6\xfe\xee\x94\xab\xed\xf6\x89!7\xb6Nb\xce\x86\xc16LE\x9f\xed[\x82\n\x03\x04\x85n!\x15M\x1d\x89J=\xdc\x8f`%\xdf\x92\xa5T\xa7\xdb\xe3\xef\xdc\xf6d\xd6K*\xfb\xc1\xee\x1bE9\x90\xc2\xee\xe7\xe5M\x91\x927\xe2\xeaxO/\x83\xa3\x8a\xd6\xc3\xf8\xfe:\xb6\x12\x17\xfaz\xfc\t\x01\xf6^\xbc\x00|\x16x\x83a\x812\x16xj:1\xed?2\xc1Y\xba\xb3\x86\x92\xa1z9\xb8\xf9FI)\xbd\n\x1e\x0e\xd2R\xa2QV\x14\xcd\xae\xc8\x02c\x8e\xc4\xc5K\xf9H'"
"The “Unicum” shutter is lighter, responds quickly, has a lever to which a thread may be attached for making exposures from a distance, can be easily diaphragmed from the rear, but is not wholly noiseless.","b'\xc4\xc5\xd1\xcf\x18\x16o]i\xf7\x9e\xd4\x16\x1eg\x88\xfc#2\xfdN\xe7\xfb\x0cz\x82R\xfd\xff)\xfd`\x80R\xa50\xfcm3\xdd\xbfQT\x81\xda\x1f\x9e\xa0\xf8\x06""\xb0Q\xa3\xb1!\x17\x86\x0b\x8fB\xf2\x18 \x8f\xa58Z\xf1P\xf1\x0cb\xdcW\x87\x17\xde\x14\x8e\xf2\xd1\xa5G\x03o#\xd1\xc1\xf4]F\xb3\x0b\xb5e\xa3\xb4++\x01\x13\xe6\x037\xb8\xb4-\xda\xff\xb7^\xf4e\xef\xa7\xfdu`y\xe2\x18X-Mj\xc0\xfaP\x11W\xb8]\xca\x85\x8a\x8b\xb8\x17\x05\x95\x0c\x93\xe5\xadh\xba\x1b\x9c\x98\xcar>\xd1d\x1dB\xee\xe6\xa1\xc3\xad""\xbf\xab\xd72\x89\xaf\x96x\xdf\x1f:gR\\3\x1d\xd1\xdf\xca\x0e\x0c\x1e\x1e;\x93\xc4\xac\xe4\x01\x0e@\xf6\xef/\xa2\xb4\xd8I\xfd\xe55\xfe26\x8dB\xe6\xd0\t\x12SGg\xe8\xd0\xb0>\x11\xb8.\xf9]\xadC\xe9\x16D\xaa\x7f\x8f\x03}\xc8X\xb3n\x00'"
"There are also other shutters, each possessing good points of its own, and the selection of any one of them for use in medium rapid, slow, or time work can be left to the photographer, who should, however, remember that the time scales on these shutters represent degrees of difference and not exact measurements of time, and that there is great variation in the exposures of different shutters of the same make when similarly adjusted.","b""\x00%\xe9E\xf4\xa0[\xcc\x11%\xe1\x94\xf1$\x18\xd0\xbb\xfa\xc6u\xba\xa3\x88<\xfc\x93\x95\xa5\n9\x16\xb5>\xb4\xd0gw\x9a\x9f\r\x07L\xe0|P\x9e)\xff\xf1\xa5\x9d#Z\xf5\x99\xf0\x99S\x1e\xee\x1b\xd6z\xc22\xfdU\xc9\x04\xff\x90\x90\xbc\xac\x17O{v\x1b\xc0\r\xe3\x7f<\xd8Kq\x08\xf7\x11\xe7p\xb4\xb3\x98\xb1\xf9x9F\xc3\x8d\x12\xc7\x18\xe5q\xda\x837\xfb\x02;&\x1d\x18y\x13\x8d\x8bsD\x9e\xf3Ws\x8c\x8c\x8c\xb2\x8b[o\xfa\xd4\xcf\xe2\x07\xb7\x1e\x8e_\xdd\x8a=\x1b\x1d#\xd6\xa9>\x19\x00\x04\xa9:\x86\x9b\xa9V\xf5o\xc6\xceG\xb1E\xd7\x7fX\x05\n@\x03}\xf2,g\xa1\x91\xf5Ms>\xe1\x88\x81\x91\xed\xaf-[\x9cw\xff\xdd\xa0\xc1\xd4\x15\x8f+%\x89]\xbe\xbc\x95\x10\x8e\xf8y\x02\xc0\x07\x85\xf6w\xb4'\xb9~\x01bF5Z\xe5um\xd2\xf6\xa5ad-\xb7'o\xc59\xd0K\xeb8?\x94\\\x90\xd8\xf8\xa5x\xf1\xf5\xee\xdf\xe1>\xd9\xb2\x98\xc4^\xe0\xd2X\xbb\xe6T\xdeGm\x91,\xbf\xae\x03<\xb1\xdeZ_\xe0\xa7\xec\xd5k\x0bn\x98\x14\xceVg\xa9\xf7\xbc}Z\t@\xd8}\xc2\x7fcAY|}\x9e\x9a*'m\xa6=LX\xc7T\xe0\xf9\x86|O\x024\x9a\x1e\x7f\x8a\xdd\xa1\x02O\xec6b\xc6\x16\xeb\xc3\x16U\xf1Zmx\x9cj\xf3\x8c\xce\xdf\x9f\xa2\xa6\xb47\xcf\xa3\xe6\xab\x92\xb8[\xd0\xf3\x8c$\x98\xae\xe8\xf5Nq\xb2~$<Nz\xc4\xb8\xc83>`\x99\xf8\xe1-;\x17\x9a\x8c\xa4a\xaal9\xe2\x88\xd5j5\xda\x84#\x12\xef\x979B,^8\xba}\x85\xd5T\xa26\x94$\xf6\xd0\xbe\xe1`\xd3\x8a\x07\x7fn\n\xce(\xd8\xed\x08\xfd\x8cr\x97\xec\xb7%\xae\xdf\xaf\xeeS\xb0\x0b\xdb\xd2\xc7`\x94)"""
"The scale on most of these shutters calls for a speed not exceeding a ¹⁄₁₀₀ part of a second, but this is far too slow an exposure to successfully photograph a flying bird at short range where a speed of at least ¹⁄₅₀₀ of a second is required.","b'ZZ^\xe4\xeb""\xf0W\x1cm\x1a\xb6I\x11\xa9L\xad\xf8\xdd5\x04\xedD\x11\x97\xd8\xecFZ\xee\x87v\x9d\x90\xa2\xe18\xf7\x995,\xa0boJ,0\xd1\xa5`f\x82\xe6\x0c\xb6\xae\x12\xa6\xae\xde~e\xe8\x8cK!\xa1\x19\x1c\xdc\xa6\xb2\x85\xbb\xd6\xf2\x8e\xca\x04\xf5ZD\x7fL>\xcd\xad\xc8\x16\x9c\xf8C\xe1\xdeH)\x97""P\x1eI\xd4c\xc8^\x89I\n\xb0V~I\x9b\x10*\xc0\x8f\xa7r\xb3\x03\xc2\xa2\xc2\xe1\xe2\xfaV\x0b~$\xc3\x15a\xc6I\xfc\xd24\x94\xe4\xab\xdf\xab\x84W\xfb3,\x07\x93\x99\xf3r\xff\x88\xe9k\x1e\xf9\xe1C7\tc=k\x80aW&yQ\xd1\xbe9\xc4bQ\xa4x\x1f\x81\xf5il\x83\xd3\xaa\xbd,/\xf0\xcbM\xd1\xe1\xaf\x00\x13DN\xb8\x94\xbeS\x98\x1ee\r\xa5\xfd\x9f""Dj~G\x9c\xf5\xd7\xcd\xb4<\x1b+\xf6\x9bS\xb4\xbeq\xa2<\xe7\x80\x16uB\x9d\x13\x98\x90SRH\xcf\x97C\xd2 s\x81^\x96\xec\x17U\r<5r\x9a\x1ah\xcf4\xe5 \xa25\xa3\x1cx\xe6\x9d\x18\xc2\xfcM\xf6\xfcYVD\x1c\x98\x9e'"
"For very rapid work the choice is limited to one kind of shutter—that is, the focal-plane, which in effect is a curtain with an adjustable slit which is placed directly in front of the plate.","b""\x83F\xad^\x8d\xc4}h\x98\xe2\xf1\xe2\xe1\xe9z\xe5\xd2I\xc2\xfc\x10\x02\xac\xa3\x96!\x1a\x8b\x19\xd7X\xcc\xe2G\x0c\xce4\xc0\xb4\xb7\x845\xbd\xe8\xcf\x93p6\x9a\x14'\x17\xe6\xed\x83\x1cI\x0b\x9b\xf9m\x05K\xb0\xb2`%\xe7\xfb\x7f2\xe5\xd9\xfd\x1eR\x88\xdb\xc3F\x9f \xb5`\xf9\xd4\x97\xf8\x8c\xac\x90\xe3\xb9>W\x87S\x1b\xd3\x7fr\x14k\xbb\x89\xb2\xf1\xaf\xb7\x1bK\xe1\xc3\x9d\xd5''\x8a\xf2\xde\xcc\x8cEr\xdcc\xa63\x02\xcf\xf9^\xf5\xe7X\xfa\xcfu\xa4\xc7\xe76\xa7\xb7\xea\xfb}:\xadm\xc6\xc9\xcfG\xc9\xb9\xdfc\xbb\x07\xba\xcc\xe4\xe8\x96\xeb\xda\x95G\xbe\xe2\xd0\x8e\xec=\xb0\x00\xbd\xbb\xee8p\xd3K\xfc\xbc\xf7}\x8e\t\x0f\x12$,!\x07\x81\xe4\xab\xbaP\xad\xeb\x06\x95\x16|\xe11\x02\nT!\x9c\xbc\xe0[\x9d\xe9\xe9\xcf\x03\xd3\x12"""
"Great speed with this shutter is in part secured by increasing the tension of the spring, which acts as its motive 21power, but more particularly by decreasing the width of the slit.","b'S\x07u\x7fF\x94J\x8c\x81\xf9\xdb\xc5\xda\xaa<Y?N\xfd\xbcr~\x03\xe1ow(\xa3\x85\x19\x1cX\xcd\xfb\xfc\xeaWv8\xaa\x14\xd4+\xea\xad\x1e\x94\x0ey6\xfa\xc0.?c\xf0\x1c\x17\x06\\\x0b32Q\x00\xe9\x9fv\x9c\xfe\xa6\xcd\xb6\xbd+\x1e\xe0\xa3\xf0\x126\x90\xcbS\xd0\x16l9\xa9s\xb1O\xbf&}$C\xae\xd6\xfdHx\xd0\xbd\xab\x88\x10N""J\x81\xf5\xa7\'\x9c<\xd0\xb6\x0f1L\xb2\xf8\x10\x82\xfd\x82\x94)\x91\x1c\x96\x86\x9d\x8cI\xbd\xbb\xc0K\x9a,\x1e\x10s\xae\x1bp`D`\x10\x14\x15e-\xe5\x87\x8b`""\x92\x08\xfa\x1e;U\xc91Z\xccr\xbd\xb5\x9e\x9cE\xfb\xad\xa1\x1f\x04\xa4I\x85\xd87\x1e\x08v\xdd,\x8c\xae\xaa$\xcd@\xa4\x8a\xb563\x1e\xd4\xc3~\x88'"
"Assuming, therefore, that it takes one second for the slit to pass from top to bottom of a plate four inches high, and that the slit is one inch in width, it follows that each portion of the plate is exposed to the light for a quarter of a second.","b'wj\rO\x0e\xb4\x104\xc8\t\xb2\x85I%`\x8c\xef\x94\xc20\xf0\xd4\x8d>`g\xd6\xbeW.\xdeiD\xa8k5\xef\xeaH\xff;\xe6LNY\x02\xd6\xfe\xe3\xabx|\xb1\x85\x8d\xfc\tvq\xe7\xb1r\x8f\xcf\x1b\x87\xb3F\xa9%\xe6T\xc0\xbb\xc2\x90~\x01c\xc6Iu\x8cj{)\xa7k\xa9g \xcf\xaa\xb8\x03\xe8\xe2<G\x18\xb7q\x90\xd0\xcfZ\xbf\xe8wY\x8e\x08i\x0c\xee\x17M\xf4\x1bwk\xc83$0\x0c\x11\rh\xa1\x12c\xcca\xa2^\x06\xf3\xcf$t\xbf\x04c~\x95\x0e\xbd\x9e\xe2\xa7u\xca\xfd\x05\xba\xa3*\xb6d\xb8\xa9g\xc3j\xae\x0batwe\xb6\x9a\xa1\xa2#\x17)*\x8bJ(w\x0c\x1f3\x0c\xd2\xbe\x1f\xba\x88\xa4%\x0fp\xa2Z\xff\x07\xc2\x99\xd9\xc8s\xcaZ.\x92\xfd\x04$\x94U\x87;\x89!\xaaq\xf0\xc3\x9fQ\x9c\xc1\x81\x97\xbb\xd34\xe04\xdd\xed\xb6\x03\x8bL\x92:\x91\x87\xfcu\xd4w\x80F\x96\xbe`H\xb1\x813\x11SAy\x97}\xcf\xcb\xbd\xe7\xe4\x1a\x9f\xd4er'"
"Decreasing the width of the slit one half, proportionally reduces the time of the exposure, and by this means, in connection with an increase in the speed with which the curtain is moved, an exposure of ¹⁄₁₀₀₀ of a second is possible.","b'\x10\x16\xe1w\x91\xd5\x08\x9e\xe6\xab=Sl\xc6\xf5c\x85\x97R\x959#4Dw?\xd8\xe8e\xe0-\xc9\x19\xcc\xb9\x06\x8f\xee,:?\xd5-\xcb2\x14r\xf6\xd4\x95.\xef\xdf\xd7\xe1<\xa6\xc8\xf3^e\x92J\\\xdb\xaa\x9d\xe9\\\x85\xd8+\x01\xfd\xde#\xc50\x9e\xd0;$\x04\x19%\x1f\xd2\xd7bF\xc5\xc4hS\x8e\xc442\xff3\xfa(\xa6\x87^,\xca\x80h\xbb\xe8\x89zl$9V\xaf\x89\x9977\x8f\xba\x14;\xa0\x1d\x12\x02\xd2\xe2\n/\xf9\xb2\x04)\xa3\x1f\xbcE\x08\x95\x9b)-d\xe8\xc5o\x00<26\x82\xfbE0T\x17\xf1q\x80\x1eH\xc3\xa1B\xd0\x87\xdb\xee\xc2\x95\x80\xe9CT\xe8\xdc\x16W\xebsQ\x80\xaez\xee\xc8\x146""Z\xabE\xdd\x18\xe9\x01\xf8V\\\x1c\x07\xcaW\x93\x10\x9f\xadMv\xbd\xff\x8b\x1cH}\xed\xba\xae\xa11^\xc7\xbc\xe3\xc8\xd9i\xce\xb2\xf8\x8b9\x1a\xc4\x00\xf9-\xa8(|\xf9\x13\xb2_\xe8\xd8Mx\xce|\x06\x15\xd5\x0b\xa38\x82\xb9H\xdb\x17\xba\xeb\xf6C\xc1I'"
"In addition to possessing the advantage of great speed, this shutter also passes a higher percentage of light than a lens shutter even when the actual time of the so-called exposure is the same.","b'\xe7\xe0\xd1s\x80\x0c\x1a\xda\x13\xc1\x14\xda\x1c\xac\x8d\xd1\xc5\xfd\xab\xc7;\x105\xeak\xbbC\xc6\xca\xc8\x1dU\xfc\xba\x8eY\x83\xa0\xe3\x12\xdb%\xca\nd\x10\xa3\x03G\x1db\tM\x10\xa0\xff\xc4\xd9\xd3\xb1R$\xcb\x97\x91\xaf\xb5i/\xf0<\xf4\x90o\x9e\xb8\x08\r\xb4\x84Zz\x9c\x8f\xb0N\x10\xf3\x10\x08N\xaf3\xa7t\x1b\xb7\x08\xc9\xf0\xac\x06\xe3U\x91v\x11\xc2\x8c1\x88~\xcbD\xed\xa7\xf9\xb8L\xac`\x10>\xd4\x90\x17\xeb^\x10k\xbd\xec}\xf2\xdcL\\\x83\xb4N\xc9\x97c\n\xf4\xbb\xda\x92SF.\xc4\xacwR\xeb\xfa\xe7fT\xc4\xe9\xbe\xa3\xa5]r\xa7]\x07b\xc0L$\x9c\xb2\xa8t\x06\xbaW\x04\xc9\xca\x07\x05B-\xf5\xdd\x9e\x18\xd4p\xb8\x84\xd6@{\xc7!&\xe0Ez\x00\xfa\x0c1f\x14\x00\xa3/\xa0;Nz\x92\xd5n\x86D6'"
"This is due to the fact that the lens opening is in no way affected, it being the same throughout the exposure.","b'\xdc\x94\xdc=\x0e\xa7\xce6\xca\xc4\xde\x8e\xf4u0l\xc2g^\xe7\x01\xef|@\xf4\x8e\xba\xc4\'\xba\xf0\x19q\xef(5E\x8d\x99L0\xa3p\x87\xefPF\xa8\x0f\x01l\xea\x80\xc6h\xc1\xe4\xd2\x1a\x86\xd2\x7f1\x1d\x92_\x99\xdc\xe1\x0c\xebs&\x98\x03\xbd\x1e\x04\x07 EO\xa9\xddt\xf1\xacx3\x84\x19\xb2\xf2\xd0=sr\xfb\xf5f9 \xb5\xfaA\xaf \n\x19R\xcfjs\x8f\x92<&\x19\x05\x95\x04\xfd\xab\x0c""\x01\x18C'"
"With a lens shutter, on the contrary, the full value of the opening is given for only a fractional part of the exposure, the parts of the shutter more or less filling the opening during the rest of the time.","b'\xb1a\xc1o\x8b@\xf3?\x15?\x9e\xa0V]\x9d\x01t\x0b\x14\xb0\'\xc6\xe4\x90\xca\x13\x91""\xf4""\x8e\xd1\xaa\x14\x1a\xbb\x04\x95\xb8\xe0\x11\xd2""\x7f5\x16\x07\n\xa9\x87\x11@^\xe4|\xe3\xdc\xd6\r\xb3\x9d\xa5j\xc5\xe1$\xfc\x02\xe8\x0e^S\xfc\xf24\xd5\xb8A^\\\n?\x8a\xa7\x97\x83\xacI7!\x95!\x07\xe1\xad\xdc\x0c\xa5\xe5\xddGwO\xe0\x04\xd1\xb6\xb3e\xa5\xb2\x85\xdc .\xe8\x0b\xa1\xc5\xa45\xf4\xe0D\x9cW\x8f\xa3u\x16\xcc\xe7\re\xa3\x97 t\xa7*\t\xf7G\xe1\xb1\xd9\xcfy{@H\xe1\x11\x1eh\xe0\x0b\xd4el\xf1,A:-\xae\xdd\xc5\x19\x95\xf0\x87N\xb0\xf3\xfdY\x81\xeb\xd7\x01t\xe3\rQr\x88\x80\x8a\xef\xf7\x88\xd4e\x87\xee\xd5\x0c\x02\xdd}?Q\x9d\x0ec\xde\x01\x19\x12\xca\x96Nx%~u\xe020\xac\x11#\xab'"
"With a focal-plane shutter, therefore, one may do rapid work under conditions where a lens shutter could not be successfully employed; time exposures, however, can not be made with the focal-plane shutter, and for all-around work the camera should be fitted with both a lens and a focal-plane shutter.","b'\xe8\xcaS\x92+\xf4\x95\xaav""\xd21Z~\xe4%D]\xafIc,\xc2\xef\xb11\xa9\xbe\xe5\xa2\x1e\x92\xce#""\xd0v\x02\x1f3\xdf\x8d%\x96Ayj\xe1Lu\xe9\xd4\xb5K_0\xddu(\xb5\xe4\x85nd\x13\x9c\t\x05\x1d\\\xd5\xae\xe7]vh\x8a\xde\xff\xa5\xa6B\x8f@\x15\xd0 \xb1\x8d\x08|\xf7\xc2\xc25\xbc\r\x83w\xf2\xb8""\x14\xb7en\xe8-\x8c\xc3\xc7\xa0 \xbf\xa9\x91\x11\t\xa0\xa1\xa4\x07\xcc\xa0\x86\x1f3\xc6\x13\n\xb0\xa1r&\x0f!\xc8\x8dZ\x84\x0ed\xc9\r\x85O\xd2\xe0\xb5\xc7\xb5\x1dVf-\x8bc\x02x""\xb9\x06\x8f\xdfh\xf4\xceL\x9c\xe7\xdf*qW\x12\x95d\xe4t4\xc4\xbe\xb0\xef\x9c\xc6\xa9!""]?\xdf\x16\nY\xe7\x98iNy\xb4\x99\xd3(a)\xb3\x15v}\xc8\\!/\x9b\xbb\x15\xe9\x18\xeb4\xd5\x96\xa4o\x9f\x06\xce\xa4p\xd7\xc0/F\xa4w\xe5?(h\x0c\x17!\xfd>\x02E;\xd2T\xfd\x00\x1d\x96\x80RS\xd9cT\x12\x85;\x8f%R\x12\x90ZZ\xf0\xad\x08\x86\xd1\x1a\x97(K\x7f\x13&\x0e\xa8\x1aW\x96\xb0\xcfcg\x8c\x9b\xec\x99\xd8\x93-\xfc\xde=\xc7\xe6\x1c\xf8\x86m\xfd=\xd9\x1f\x93\xab`\xcc\xc3\xa4\'L2'"
