"Strings","ChaCha20_encrypted"
"Continuing our comparison, 16we observe that the eight-inch gives a fairly wide field, excellent depth of focus, but a very small image of the bird, for which alone the picture has been made.","b'c\'s\x17Df\xd0+KS\xb2J\xb0i\x08\xd8\x00\x92\xaa\x0b\x84\xaf:8\xd4\xdf\x84\xbdT\x97T\xae\x1aT\xd2\xdb\xfeE\xcc9\xaeI6\xe8\x00-\xc9+X\xadC\x19/\x99I\x8b\xb9\xeb,\x0eg\xb8""\xef\xe9\xcdc[\xe8s\xcf\x11\xb5M\x8f\xb7B\x13_D\x8caug\x977R\x14\x1a#\xd1\xda\xb3\xf9\\w\x85\x1c\xb5\xe1\x8e%{\xb8m\x04\x8ff.\x19\x97\xb5;\xf59\x96\xa7\xc2\x95\x02o\x10\xfdt\xdc5\x9e\x13\x15\x80F\x04w#\x8c""\xea\x96\xe6:\xc8\x88\xe7}\x8ca\x84\x8c\xe2\xcb\xcbI1\xbc\xf3\xd7Knk\x1c\x03Q\xb1\x7f\xd4\xfc\x11\x1b\x8f\x07\xb7\xc9\xd9\xb5j\x1c\xa4e\x8b\xd75\x13\xddq\x8d\x11\xe6F%\x08b'"
"With the fourteen-inch we decrease the extent of the field nearly one half and almost double the size of the object pictured.","b'\xb9\x9e\xf0\x87}\xb4\x94\x97\x80\x18T\xa5lM\xc5y\xb4\xeb\xdcrc)~\xa0\xff\xaa\x87\xb9\xc50\xba\x9a$`\xc9&""\xd5)Fo\xeeu%\x81\x90\xf8x\xd2\xec\x10\x1d\x84\xbb1\x05_\x13>?\xa6\x08\xc9E\xf2\xea4 \'\xf2ve\xfclm\x95H\x82\xd7K\xae\t\xb3\xcf\xec\xf3y\xbf/\n4\xa2\xb5I\x8d\xc8H8Cg\xb3\xc4G\x12\x18i\xa5\xc4n\xcaF\n3\xcdD\xc0\xbbz\xaa\xfd\xaf\x81\xd2~\xec'"
"This, however, has been done at the loss of depth of focus, not even the first of the line of posts running directly into the background being sharply defined, while with the eight-inch all are in focus.","b'\x0f\xa8\xf8\t\xfa\x7f6\x9c\x06r""v\xb8\xff\xe9\xb0\xb5\xf0\x98\t\xcf\xa1\xc2e*8\xbb\xab\x16\xa2\x16\xb8\xd9\xf6\xe5\xae\xd3\x8a\xcb\xcf-""\xa1~0\x0bK\x17;\xb8\xf8MD!\xccz\x0c6~\xb0\x1a\xd5D\x08d\x16a\xbe\xf8\xa75I\xc9rA\x12\x9b\xa0K\xe8K3\xb4\xddT\x16\x89\x10\xce\x0b\xc5[\xfao\x1d9\xe5T\x86\xef \x00E\x8fg\xc6\xbf\x1a,\xd3U\x10\x81e\xf7\xaa\xdb\xa68\xfdP\xe5\x17cm\x1a\xb7\x11a\x83\xd9\xdd,\x06\x97\xc0\xa8\x93\x15\xcf\xa5W\n\xa1ML@\x8c\xdc\r*\xc4\xa9\xc1\xbc`\xfab(\xc7\xb0\xa8BK\xd9A\xd8\xf5\xe5#D\xd75\xb66\x1d\xff\xbfw\x1bA\xb9DH\x1c\xb7\x06\xa3\\\x18\xa3=\xecu\xac\xa6\x9foc!\xee \x08'"
"The telephoto gives an enlargement of about six diameters of the image thrown by eight-inch lens, and three diameters increase of that of the fourteen-inch lens.","b'5\xa5\xa8$\x962\xd2\xd7\xd2\xb2\x93@\xbd\xc1s\xc1\xcc}\xa9\xa9\xc4j\xaa\x01\x02\x0b\x85\x8a\xb3\xc1r)\xa6T\x08-\xe3/\xbf|`<Hl\xc7\xc8c\x89Q\x90\x0f\xd2\xcb\xde\xe0\x8ea\xd8\xdd\x19\xdc\xec\xf9\xf0\xc3j/\xb7\x8a\x17n\xff\x97\xae\xc6\xb5\xd6y\xcc\xfaA\x8d\x10i.l\xf2D\xd8\xbaU\xc7E\x87\xe5\xb0>\x8e%\xbd\xa9\x047\xe5\xd4]\x8ar7\x08[\x85+\xba\xc9\xa3l \xac\xd3s#\xbcj\x07#\x00""\xc5B lR\x0c\xc6\xff\x1d\x10.\xb6\xa5Nk\x7f\xb27g\xe3b6\xf2\xf52S=\xf4\x8a\xeci\x17\xa1'"
"Having now made three good negatives in the field, we may, by enlargement, improve on the image of the bird obtained.","b'\xed\xe8\\W\x8c,\x8cv\xa9\xbf\x16&S\x9a\xcaP\xb3\xb9\xe1\x00\x1e\x98\x8e\x19;\xaeM\x17\xb5\xf7\x1co[\x1d\xf5\xbd{\xea|\xf4h\x0b\xf0\xbc>\x8d\x1d\xf8#8\xf7.\xbe^\xf6\xfe\xdb9\x8eC\x8f\xffJ\x98\xc0\xa9hg\xae\xbc\xaf]`\xe8gv\x00wZy\x12\xfcL\x9bKF\xc9\x1ac\x80\x06x H\x1e\x1bY=\xf5/\xee\xa3\xfc\xf2\xbb.\xcf\xa5\xaa\xd3\xda\xa2\xa6!\x08<4'"
"The possibilities in this direction are clearly shown by the three enlargements accompanying the contact prints from their respective negatives.","b'\xe9\xa0\xffU\x1dAI=\xb4\xaal\x0b\xbbF\x97\x90\xa9R\x96\xebo\xeb\xbf\xb6\xcf*\x98\xfa\xe9Z?\t\x9d\x17\x98p<\x12\x9f\x9f\xe3RD\xbf\xd3\x06\x15(\x0e\xfa\x88y\xf2\x8a\xda:\xc4H\xcbU""\x17\xffU\xb1\xe1}H\x82\xf8\xcd\xc5\x08\x1fO\x1aoC\x833\xb5\xd85/\xa9[O\x1b\x9c\x99\x9c\n\xe7^2m+{/\x19\x83\xc8\xa9\xdd\xfe\xe0\x1cs\xda\xd6jW-\xd0\x14\x9dpO\x19\x0c.\xff\xafm\x0eP\xad\x80\xb9\x93G\x98x4\x01\x96\x0b<\xfb?2\xaa\x03P'"
"In each instance the enlargement is about three diameters, and the telephoto negative of course furnishes the most satisfactory picture.","b'\xb11\x1cFm\xf8\x90\xfc\xc8\xac\x16W\xa2\x9e\x19\xc3\x0bFboF\xfb \xdbg%\x98\x89&0[\xd3ko\x9e^\xc7\xe2sN\xeb\xa6\x99\x0fx\xe4\xef\xf0V\xc0\x85\xf0t\x07\x98\xd5\x9cZ\xa5lw\x93\x80\x81{\x1cP0u?\x00jh(\xab\xfa\x18\xba\xab|\x9b\x0f\xe3\xdb\xc07\xcfKO\x0e\x19\x8575\x9fM\x00\x94f\xc8\xf5h+\xeb\xa1\xc7\xb4\x82\xfb\xdf})P_\x82\xcau\x92\xd9S\xe9\xe4pn\xf1\xdd9\xdbmY\xab\xef\xcc\x12\xf3\xe1'"
"When the difficulties of telephotography are considered, however, and the ¹⁄₂₅-second exposure of the fourteen-inch lens, which permits of hand work, is compared with the one second of the telephoto, we believe that for general work in photographing 19birds a lens having a focal length of at least fourteen inches will be found the most satisfactory.","b'\xef\xb2O\xd1\x13\xf0\xd3n*\xa8\xeal\xa1-\xc4\xa9\xf4\xf5\r\xfa\xf8Qt\xc7\x02\x7f0\x8d\xf6\xeb\xae\xd9\x95\xf5\xc9\xe7\r\x9c\xbe\xcb\x80\x98+\xa1Y\xe4\xf6\x02\xc8\xf1\xf1(\xbd\xa6A/\x87\xad\xf9E\xf9\x00n\xf7i\x9e\xc0\x81\xb8\xb6\x18\x00[m\x1f)\x82n\\K[\xb3`&\x89r\x02\xec\x9f\xb6\xadD\x88\xc4\xd3\xe5\x97\xb0\xb9OI\x0b\x03\nJ)\x10f\xb5]N\xb7\xdb\x8c\xdc\xf8 .\t\xec\x15\x81\x13\xfcX\xc8\xc8\xbe\x0b\x91\x15\xaa\xe0\xb8\xab\xc4Z\xb5\xbd\x02\xcb\x08\x9f\xe3\x9d\x8b\x00Bk\x984d\xbf\x00%\x8c2\xc5\xbc\xcc\xe2\x009\xe0\xc83#\xa7\x1aUy\xf7Z\x02\x08m\xafOD\xaf\x11\x87/\xc2T=\x9d\x14 \x18\xce\xb2\xf9/\x1e\x9c\xe4n]g\xc0\xe9KPs\xf2~\xf9\x8d\x043Q\xcb\xf1cA\xea\x81o\x13\xaf\xef\xfc!\x08dr\x8eT\x9d\xbb\x0e\xb5\xc5\xd0h\xd7{\x1f\xec\xeb\x016\xdd#\x17\xcc\xd9\xfc\xc7>Q\x8d\xe37dC4?%\xcf\x8fS\x81v/\xae\xf9C\xee\xfe\xd3?Z\xdbPw)\xa7y\x7f+\xf4n\xe5\xcb\xdd\x1ci6\xb6\x9cz\x96x\xda\xa0\r\xc6\xf0Z\xb0\xa3\xb8\xada\xa6\x95\xa5\x89%\xb9C\xa2!\xf1\xc5\xc1\x9d\x8a(*\x0ch\xfe""Uv=7\xeebF\xaed\x1d\xfb@S\x86\xed\x13\xa8.\x1f[\xee\xbb\x89\xe5\x1b2\xb4\xc6\xbd\xba\x9bN'"
"It should be added that, in order to make them wholly comparable, the three contact prints as well as the enlargements were made on enameled bromide paper.","b""\x1d\xaa\x02\xfa\x1e\x93\x07`\n=&\x84\xb00V5\x1cq6\xec\xa5\xb8\xae\xb3\xc7\xbd^7W\xf8\xc9\x02c\xed\x03$\xfc\x08\x98r/\x95Hq\x13:\xee\xafP\xd8\xa3+\x9d=v\x8cN\xd0#\xa8~\xdb\xd4\\wR\x8a\xf6\xf0\xb0\xbfT\xa5}\x84:&)\xaaN6h\xde\xe9Rs\xf4r\xf9\xb62}|\x84NiM\xe4\x13\xe5\x19\x85\xdc\xec\x9d\xb5'\x0e\x08\xca\x12\xb3;\x96?\xda\xb8\xe3\x05\x80a[\xe0/\x9a\xa5\x9a~\xc2\x7f^\x97B\xd3u\xee\xcd\xd9\xd5\x90\n\xcbz\x11\xa2\xe1fg\xc3\xa6\xd2d]n\xf2"""
"—For fairly rapid, slow, and time exposures, a lens shutter, such as is sold with trade cameras, will be found suitable.","b'\xa1\x9fI\x13\xaf"",\x9c1\x15\xa2\xaa\xee\x10Q\xfe\x8e<\xdc6kPa\xf8\xac_\x02\x8a\x8a\xc5&\xe0\x8c\xf3\xa3\x11RL\xea\x99\xf1\x06\xca|\xde\xa7K\x89\xb0\xdc*\xe7}\xc3vz\x84!\x01k\xe1\x8a\xa7\x7f\xa4\x8d\xa5\x91Q\xf5\x80\x13\x1a\xe6Q\xef\x04\x8a\x93.\xa8""\x96US\x036M\x90\x8c\xa5\xa8\x97\xce-\x83\xdb\t\xd9\xcb\xca\xa0%\x81\xd2\x94\xfcd\x02\xe4\x17\xd8\x15\xbco\xf3\x8dFQ\xe5;\x8d'"
"The “Iris Diaphragm” shutter is noiseless 20when used for slow exposures of two or three seconds, a matter of much importance in making time pictures of sitting birds, who are apt to turn their head if they hear the click of the shutter.","b'\xff%\x9a\x1c\xae\xee\x93q\xf91j\xce\xb34\x03l\x11l\xd1\xfc\x90/?Q0\xc7\x86\xed(2\xfc\xe2P@\xaf\xc6\xa1\xad\x89\xb1>\x1e\n\xfa\xdf\x10*!\xe1\xb6ys|\r\xa2\x06SS\x93\x04%\xb3\xe5\xd1(\x81Gf\xdb\xf7:P\xf4|\xe0jgm4\xda\x07\x8ak\xb5\x8f\xa3\xaa}\xce\xe7\x80R1%K:\xd7\x08G$""\xa7\xe4x\xb4>!C\x9b\x15\xb5\x08\x96\xc4,\x08Y\x0b\xfeS\x17\xea""@\t\xe0\xd8\xb2z\xff\xf6\xff\xd5\xae\x1a\t\x10\r*\xfb\xe4}\xb1\xfeW\xech\xaf\xb0\x01.d\xfc\x826HE\xdf\xe8\x10\xbc\xda\xbc\x06\xd5tH\x102|\xa77\xf8\x8dO\xe8\xc9\xc7\xbe\xf9O\xda/lx\x14\xf0\x9e\x94\xf4\x8f\xb6\x9b\xbd\xc82\xbc\x809\xdcR(\x11Q\xac\xc62\xde\x1f&\xd0\x86d\x01\xa2Tl\xa9H\xf45$I]K\x81\x7f:N\xfc\x99\xbe\xc5\x8c_\xc8\xc3Y\xf9\x01}'"
"The “Unicum” shutter is lighter, responds quickly, has a lever to which a thread may be attached for making exposures from a distance, can be easily diaphragmed from the rear, but is not wholly noiseless.","b'\x80\xd0\x92S2ZMi\x82k\xb8\xe3\xa8\xef\xe8\t\xee\xb7\x99#!\nUIBQ\xe8N\xb2\xbb\xb4`\xd7*H\xd72\x8d?$Rv\xae{\xf9[<\x0bI\xa3\x8a\xe4\xb6\xd1\x1f\xa9\xa9LQ\xa2L \x12\x1a\xbd/\x80\xbcP\x14\x12\xa9\xe5b\xf7\x87sUb\x8e\xd5\xeeJ,GK\x1f@,uE\x9b\x84\xa6\x9cL\x9cp\ra\x0e\xbb\xe2,\xf2\xa6\xed\xe5\xb2i\xba\xe7\xc62=\xbf\xe0M#\xb07\x83b\xa3\x94\xc6\xb3\xccnc\xcdz\xe5\xb9\x9b`}\xb4b\x89|\x87\x14)\xdf\x90KF\rI%\x03\xa8\x7f\x12\xf4p!<p\x97\xda>\xf7@\x9d\xc7i-|\xb5\x0f\x97m\x91`\x1co\x99\x13\x9ceRswYCPb\x86\n*\xdd\xc7\x90\xedJ\x0f\xbc\xf2\x96aL.X\xcb/\xce'"
"There are also other shutters, each possessing good points of its own, and the selection of any one of them for use in medium rapid, slow, or time work can be left to the photographer, who should, however, remember that the time scales on these shutters represent degrees of difference and not exact measurements of time, and that there is great variation in the exposures of different shutters of the same make when similarly adjusted.","b""\x19\xd0\xa8L\xb3\x03\x0f\x8c\xf5,O}O6\x82\x04#\x1d\xa6\x03]\x97?\xdf\xb2\x11\xb1\x91`\xa3\xe6V\x85\xc3u\x9dC?\xd8\xef\x84\x86?\x83?\xad\\\xa9B\xa6[}\xde\x96\xda\x04\xb8m\xa4\x10\x86\x85A\x93\xdb\xe8o\xb5\xf3\x81\xf3\x0f\xfcY\xf8\xc3\x92y\x021\x0e\x85\xe5=\x0eO\x96\x11\x80\x9d\x19f\xa3\xb54p\xca\x8fXtXO\xcfz\xcc\x1a\x10\x86\xe3\xcdAU\x87\x86C\x19\xb5M\xa3`\x92\xc3\xc1<\xd8\x13\xb5q\x9a\xb71\x0b\x82\x0c\xd3>enaY\x86\xb3\xd8\xa3\x022h|A\x00G\xde\xeezy\xd9\x8aI[t\xbe;\xeb\x9f\xa4\xa1\x15\xff\xd4H\x92\x03a\xb6\xb3\r5\xd2\xe9\x08\xbf=t<4\xde\xdb\xafS=\x8eX\xdb\x9fk\x89w\x1bo\xda\xe4$\x14\xda\x07\xc4\x9b\xda\xf6\xda\\\xb6\xaf\xc7Q\x8a\xcb/\xd58!~5\x8ew\xccL\n\xa9\xdc\x9e\xb5\xe7?f\xa2\xbeq|\xc5!\x11.<\xaf\xcb\xddj\xb1\x84\xe0![\xdbUO\x01\x157\xd3\xec\x8ef\xcd\xbd\x98\xf4\x082\xc9\x8c\xed\x1b\xd8\xf6\xdd[\xb7\x0f\xe6\xffAV>\x8c*\xfb)\x83I\xdb\xc6\xf1\x0fz\nt\x91\x92\xf9\xb6\x14\xabd^V=S\x0b)\x17\x88t\x98O\x07B\xd7\xc6\x99m}\x05<_\xfe\xff\xee\t#Zl@\xa5s\x05\xe4\xa9~9j\xa1]\xa6s\x16\xd7X\xb1z\xf4\xfe\xc3nK\xa9\x16i[\x93\xc0\x81\xa0f\xd2\x04\xb3z\xb5\x17\xaed\xcd\xea-\x9f\xe3'!\x84{hF\xca\xca\x0fQ\x82\x95<\xb0'\xfd\x9bQVf\xf5\xb6\xc3HqOo\x9a\xd6\x05\x1a\xa1r\x9e\x0c\x90p\xf1k\xa9\x9b]\x0f\xeb\x8d\xf7\xcd\xd1\xe36\xa5G\xf2\xeb\xc5(\x87G\xda"""
"The scale on most of these shutters calls for a speed not exceeding a ¹⁄₁₀₀ part of a second, but this is far too slow an exposure to successfully photograph a flying bird at short range where a speed of at least ¹⁄₅₀₀ of a second is required.","b'W\xdda|x""\x9e\x16\xa5V=\x855|\xb6\x9e\xae\x163\xd8\xa0)&\xca\'<!\xd0\x0fr\xa79=\xd1.$\xbb\xfd\xb8\x06\xe4S,M\xd4\x84H\x8c\xe6\x8e\xc5\xbc\x9d\xf0\xe8\xb9\x1a\x16t>\xb2!\x03o\x86LT\xab4\x1a\xf2\xe8\xd0\xc7P\x9e\xfc""\x98h\xa8\xde\xea:\xfb[\xf7\xcd\x06\x98q\x8bPX\xdf 5\xfd\xb1\x92\x8a\x97\x9e2%6/s\x95\x7fb..\x87\x00v\xcc\xac\xab1}\xd8 Mo\x06\xfd\xff\x83\xf2N\xb8\xc4\xa9\xaa?\x9d\xc5\x80FT\xd6\xacj\x8e\xfb\xc0<P \xd5IJ\xc6r\x13\x86k9/\xf1\xf2\xa2\xed\x98y.(P\xca\xf6\x04\x0c\xff\x83\xfeN!{5\xc0\x05\x05lO\x9a\xdf\x1f\xe1}d\x85\xc2\xbfM\xc8>%D\x82\x98wH\xd7\xe4\xf8\xbc\x7f\x8c\xbe\xf7r\xe0\x92~\x91\x9c\x1a\x94\x98Y`\x16/\x03:>\xf6\xf5\xe3Y\x88\xa5\xea\xe3\xd98\xe4\xd5fT\xea\x83\ny\xe9\xbfz\xa3\xd4*\xe9\xf8\xfc\r8\xae\xfe\xe5\x8a\x05'"
"For very rapid work the choice is limited to one kind of shutter—that is, the focal-plane, which in effect is a curtain with an adjustable slit which is placed directly in front of the plate.","b""\x1e:\x16\xcalZo\xa5N\x9b\x971\xf6\xdf\xb5\x08\xe8\x07G*\xa6W\x98\x88\xbb\x0e\xe0\x1a\xee\xe9\x93\\7S\xa4\x85\r\x81l@\xe5\xe1\xd2\x86\x97GY|\x7f\xe0\x18\xf3\x1ch\x86Sc\xf6R\xca\xfd%\x80\xa8\xdb\\\x87\xdb\xac\xc0\xedz\xef'\x00$\xc0%M\xef\x88\x88\x9a\xde\xfc\xc0O\xf5Nt\xe7\x15\xf1\x99v2\xa6Vo\xc6\xa8O[T\x98\x90j\x13\x9c\xa7\xcd\x15\x89\r?5)\xf5\xf5\x96\xc6s\xe8}\x17\xdd\xd4\x17\x1a\x8d\x8fj*t\xf3=\x94\xe3\xc6\x96\x16\x7fP\xa2\x90#\xb58(%\xcd\x0e\x8b|{\xd4g\x9ax\xbe\x99\xce\xdd\xbb\xda\xa9c\xf87+\x18mC\x9b\xcd\xaf\xd5\xf2\x0b\x13\x99\xe4f3\x82\xdd\xbe\xbe\x15\x85R\x13\xc3"""
"Great speed with this shutter is in part secured by increasing the tension of the spring, which acts as its motive 21power, but more particularly by decreasing the width of the slit.","b""\xd0\x91\\O\x83+`\xc5%\xb6h[>\xe7\t\xf6J\x0c-\xfb\xcdf{M\x96f\x0b\xcc\x80+\x00\xa8\xadJKP\x05\xa8\xb2\x1a\xd1V\xe1R\xce\x96\xc2\x99\xed\xf7\xb8\x1e\x96\xfcv\x0b5\xb8\xcad\xf0\xdd\x8c\xc8O'k6O\xe3\x8c:\x93\xd3\xc8\xc0Y-\x12\x83\xd6\xef\x8d\x04\x1et\x1b\xb6s\xd2v;X\xef\xfe!|\xa8\xee7K@\xccR\x1c\xf3\r/-L\xf3\xfe+8\xe4\x9eO\x99\xc8\x88\xed\xcd\xbf4\xc5W\x0bk\xe0\x9c\x1evC{\xd9\x9a3\x8d\x12\x8d\x8c-\xf9h\xb9z\xc5\xfe\xe8\xa7\x07\xb1JG/A:\x0c\xf6\x1a\x1b\x05\xe9\x94K\x17\xcd\x08:\x9d\xa83\xddRL,4#\x07\x1a,\x1e"""
"Assuming, therefore, that it takes one second for the slit to pass from top to bottom of a plate four inches high, and that the slit is one inch in width, it follows that each portion of the plate is exposed to the light for a quarter of a second.","b'\xebM\x87\xd4`\xd1\x0f\xf7\xdc\xadyz\xa5\xcf#\xc2\x86\xbe\x82\x02[%#\xb6\xc1\x90B\xac\xd5wr\xa8\xb9\x9f3\n\x82\'/=\xda}\xc7]\r\xa5\xe4#\xbef\xd6\x1c\xf3\x15\xf0\x07C\xf4Z\xb9\xefc\xae\xb5QE\xdb\xc3+\x11\xa7R\x06\xdfN\xad@V\x85\xa2\x9a\xd7\xb2+\x82l\'&\xa76:f\xb7\xab\n""\xce\xf4\r\xe5\x0f\xdcQ\x82+Zy\xf3\xf1(\x97\x03bQ\xe7\xd7Ym\xea\xabsn\xa9p6R%\xc1\x95\x11\xd2j\xa4\x9b\x83\x02\xe0\xc1E\x98\xb1\xb3\x96\x0b\xba\xb3\xec\x86b9\xa5\x8d\xc6\xde\xa1\xcdV\xf1\xcd\x03U\xf7\xfc\\\xa3\xd5/\'\xf7\xe0\xcf\xcf\x95\x0b\xe1*\xd4qum\x8d\xc0\xf9\xd2\x04\xfc\xa7\xd7\xba\xaa\xb3*G\xa5\x18\xfb\xa1\xe4\\\x9c\xa8\x95\x97\x11\xabn\xe6\'\xccWy\xe9\xd9\x0eY;\xf9\xe4\xe9\xc4\xdcb\xe6l\xa9+\'\x96Y\xf8\xe9\xa8?\xa0a\x899\x0c\xe5)\xa5\x93\xa8\x9d\xd9\x99\xfc'"
"Decreasing the width of the slit one half, proportionally reduces the time of the exposure, and by this means, in connection with an increase in the speed with which the curtain is moved, an exposure of ¹⁄₁₀₀₀ of a second is possible.","b'>2u\xa4\x9a\xd2\x1f\xd5k\xef\xde\x84\xf5o\x89\x92\xf5""4\x08f\x08\xd1\xc7e\xfbdik\xcb\x04\xac\x1a\xaa\xb6.t\xd0\xbd\x807\x0b7B\x89\xda\xca\x86cAW~\x9b\x92\'\xea\xebI\x97\x84\xf1Hx\x0b\xa4\xcb\x91\xa4\xd9\xc4\xdb\x02\xe4\x94h\xbbS\xd5\x93\xd9\x87""\x0b\xb9::i\x96Qm\xf0\xa7\x16H\x9dT\xf40\x12:\x128\xc6\x9e\xd4r@\x9e,G\x0e$`R\x9dt\x04\xa0R\xb4\xaf%X\x98\x90\xac\xbe<x\\)k]\x81\xd5\x0cU""Gn\'F3-\x7f\xaa\xb4\x1492\x8a\'\xea\xf7\xfe\xe8\xf0\xd1\xa22\xfb\xba\xd6\xd5#\xc6\x12@\xe2\x172\x1f\x13\x03\x8aW\xf0h\x12\xf2\xeb\x9dM\xb40\x8b\xcf\xbf \xe9\x89\xac2h\xf4\x02\xda;@\x10\xe3\t\x8bs}\xa7:\x87\x84B\xf9\xe2\xf2\x1e\xa6\xe6J\xc5\x06f\xb5\xf4b\x10\xae(|\x8c\xad!eG|}}B\xcc\x93\xd9\xab\x7f\xc1\x1a\xd23'"
"In addition to possessing the advantage of great speed, this shutter also passes a higher percentage of light than a lens shutter even when the actual time of the so-called exposure is the same.","b""\xdb\x8a\xf2DX+\xd8|\xc4\x98\xc8\xc4\xac\xd9e\x94k\xe7|\x13\x16\xaf%\xb2\xe6F\x93\xf6{\xe2J\x99=[\xbc\x17/@\xb8\xb3\x01,\xd6\xd5s\x10\xa7qq\x93\xffB\x1b\x97\xdb[\x8e\xf4\xf0\xf8k\xce\xd3_\xf0JEV\xc6\r\xd8d\x00\xb6\xbcD\x83\x8d\x8c\xc3\xb2\xdc\x86\xa7\xd18%\x00\xbd\xc7\x85\x0fc\xff\xce\x17>\x0edz\xbc\xfd\r\x9b\x95\xcd\n\x1f\x9d,g\xac5#\xb8\xfb\xe4E\x06\x14\xe4!p((Z\x01\xadv\x8c\x91\xf63~\x18z\xdceo\xd1\xe0w\xe8\\\x0c\x80\x87\x1f\x1d\xb89\xf2,|\xe7K\xd0\x86\nF'\x963\xb7\x8b\x15\x1d\xd7k\x18\xc5\xe4\xf4\x0f\x02\x95&\xf2\xad[\x03\xa1dV\x02\xfb\x85\xfb\xf9\x7f\xef\x7f_}"""
"This is due to the fact that the lens opening is in no way affected, it being the same throughout the exposure.","b'c[\x94%\xf8\xee\xee\xaesBjb\x88\x94\xd64=}\xfc\nP\x9c[\xe8q\xde\xda/\x81\xc5\x1d\xd1\xb0]\n\x89O\xbfo\x88\xdclX\x9fS\x94t\x80\xab\n\x05R\xa5\xa9;\xa5\x07(\x9bTh\x9e_\x19\x18\x7f\x92\x14\x02yS\xca\xe5[\x14\xbeOr\x0c\x8d\xb2\xd9\xce7\r:\x11\xa9\xc7\xddfV>;v\xbft\x8f\x84\x1a\x87\x0eP\x94\x8a\x0c\xcb\x12\xf63W'"
"With a lens shutter, on the contrary, the full value of the opening is given for only a fractional part of the exposure, the parts of the shutter more or less filling the opening during the rest of the time.","b'vCpx\x05\xfbz\x942\xd1\xf8T>9\x10\xedY\xd8\x1c\x10\xcaXkqd7k\x1dz\xfas\x86B/\xb4-\xe6\xa2\xee6\xde\xd4\x0b\x85A]\xdd\xbe.\xd4`{\x1bC\x1b\x9aO\x95\xd3\xcfFE\xf5<B\xc6\x83-[I\xad\xbd\xb3>\x0f\xf4\x8cP\xd5&\x99\xd5\tC\xc9\xfc\x9f92|\x8d)\xcd\x9f/N\xb7\xa5\x06\x0fDg\x9f\xcc\x1f]=\xb0\xf4\xac3\x0e\x1c9h\xcfL\x08\xdf\xba\xa9]E:\xac\xd9\xc9D\x1c\xeb\x9c];\t\xeb\x90\xa0I\xe6#\xc3k\xdd\x07\x10\xb9Gyv\xcc\x8f\xf7\xfe\xd4]\x97\xf1\xfd\x80\x0e\xacN\x89\xfc\x9c?\x14s""\xb0\xc1\x90\xad\x94\xf2P9\x9fp\xc4\xd7\xb4\x00\x0b4f\x99\xbd+\x9c56H\xe2\xfc\xc3\xa9\xbc\':\x18N\x17#|y\x00'"
"With a focal-plane shutter, therefore, one may do rapid work under conditions where a lens shutter could not be successfully employed; time exposures, however, can not be made with the focal-plane shutter, and for all-around work the camera should be fitted with both a lens and a focal-plane shutter.","b'K\x91a\x08\xbe\xe2\xb4\xc3V\x12\xad\xfc\xf4\x05\x94\x0e]\xfb-\x1b\xa7p\xb5\xf4\x107\x1a\xecs\xd4\x15i\xc7[\x98Wr\xf9\xc3\xe2l\xb00\xb4\x98!\xb0\xb2\xa5x\xb6\x0e\xdb\xab\xd2J0\xd9\xe9%1\x9e<\xc4\xc2\xde\x9f\xbc\xf9\x15\x18^@8\x99\x00\xc3\xa7j\x94\xa33\xd6\xea\x95O\x13\xb3\x96>\xa9e\x7f\x96\x8a\xecU\xa1\xf9\xbd`S\xc0\xc5\x82kgz\xb2\xd1U>r\xe6\x1f\x01\xcc\xe1\x19\x99\x17\'\xa7\xc4nJ\xdc\xf0\x85u\xeaCe\xbb[\x11V\xd0\xdb\xba\xc6\xdeC\x0b\xfb\xcf""\xd2\xd0\x98\x9e2B\xf1\x8fuIt\xe5Lp\x02\xd1\xa1L\x15\x8c\x8d\xeb\xe4\xd9\xd5\xf8\xc2\xed\xc6\x9f[\xc6a\x18l\xc8\xc9\x02\x9e\x14\xcb1\x9cy{\xc9\xb6-1\x15:\x81\xb9\xfc;`\x9e;t\xc5D>\xa2\x06\x93@\x0cVCn \xfbGb\x8e^\xdb\xf0+\xce]\xeb\xf0}\xc3\x14X\xeb\xf33y\x17\xf4v\xe7\xe3\x885\xb7\xa8\xe0\\_\xee\xf6%&\xfb\x10\xb9\xb6{\xc2PJh\x9f[\x8b\x85\xb3tj\xab\xe0H\xb9\\\x90\xc2\xeas\x0bJ%\x82\xcc\xd4\'\xfc\rs\x97C?K\xcdXG\x9d\xda\x11\x94\x8e'"
