"Strings","Encrypted","algorithm"
"Is there a fire extinguisher?","b'\xe5\x05\xfa\xd3\xf9\xa8b.\xbeL\x88\xf7v\xb1\x85\xbe<\xf9C\xfd\x89\xb1\x9f\xa9\xbc\xbf\r.x&\x96\n\x16@\x9e\x83\xea3\xe9X\x84\x93\n\n\xe5\xf4\xa4H'","AES"
"'You don't have the human body in the plane to keep alive, which means you can be a lot faster,' the billionaire White House advisor continued, 'much higher G-forces.","b""^\xc54\xa0\xa4U\xad\xb0\xe8psA\x1b\x9e\xe1C%\x85%Mh\xe3\x92>0\xd5\xeeb3\x1d\x18\xcd\xa0\x97\xe3\x1c\x16\xa8\xbc\xe7e&>\xf4\x11k\xebu\xb2\xe1n\xf8c~x\x1ex\xf1#\x14\x9b\xc5\xf2\xc2\xcf\xcd\xd1[9\x902\xe9\xcd\xb3cN(\xf5\x9e\rw\xd7\x8bT\x9c\x8b\xc0k[x\x05\xbari\x0b\xf5.\xaa\xe7\xeb\x9d\xd7\x11\x83\xdfY\xd6b\xcd\x9b\x1d\xea\xf6\xee\xad\xe4gj)v\xa6\x84\x81\xa9\x92\x07RS\x02\x10\x82\xd81\x1eH.\x18\xaew\x8e\xe7T\x13W\x85\x1do\xe4\xf4\x87\xaa9`'\xfa\xdd\xca\x1cqj\x1av\x7f Ef\xf5\x944x\xed\x9eR\xcf\xbbj\x14\x81n\xf2\xe0%}4\xaeU\x01\xd5\xe8)\xe2T""","AES"
"The Great Wall of China symbolizes both protection and isolation from invaders.","b'\xc8#\xc4o\xe6\x04\x15\xe7M;\xc08`k\x07\xe8\x87""8ycc\xa7G+&\x81n\xfbH\xc8\x1fK\xbc\xe4\x8e\x7f)\xade\x11\xb6\xe8fC\xd2\xd8\x0b\xad\x9f\xdf9&]\xc0\\.\x88k\x898I\x8f$\xa2\xc5\x06d\xcb\xee|F\x00*\x12 r\x99\x9d!O\xa0\x8b\xde\xbd^OP\xe8\xde\x93\x1a\xae\xeadL'","AES"
"H7F=Y2.SJl/;]","b'9B\xa4\x97\xe1n\xb7\x89\xe7\xd3\xf13\xe6k\x7f=\x05[\x100\xef\xcf\x0fE\x84^\xb3m\xc0\xc7{\x92'","AES"
"The reflecting camera possesses all the advantages of the twin-lens, but requires only one lens, and when in use is not materially larger than the ordinary 4 × 5 long-focus box.","b""B$GK\xd0\x04D`+\x86I\xfcD}\x03\xfa\xbf\xe9\xcd\x93\xd2\xf4\xf9\xea\xea-2\xc4\xdbG\x0c\xd2\xb1\x1f\x16\x0c\xfe\x0e\xed\x95\x1c\x94\xe8\x9b\xba\x1c\x08\x80\xe6\x936\xc9\x07\xea\x9d\x83\xae\x03\x96\xbd\x1d\x19\xf1\xdc=\xc9\x12\xbeF\xdam]ffjK-%$\x95kq\x06\xb2#\xa4J/{\x85\xba\xe9;\xb2wO\xf8OO\x99\x16\x99\x0c\xdeY\x0b\x91(\xba\xf9\x82\x1f'\xb4G;\x96\xc1\xf2\x80\xe0\xbdE[\xef\x9f\xf5\xcd\xf0\x86\xbe\xb5\x9f\x93\xfd\xf3\xf3Z\xe2Z/\xc9\x87!\x17.\xef\xc9\xfa\xe2\x13\xf48|\xef\x80\xc8\xe9\x9dR'Y\x85\x1eB\xe7$\xc0i\xe2\xc4\xcf*5\x19\x00\xdb\x98D\xef\x8b\xd3\xa7\x0f\x17XIv\xf4\xba\x96|\t\xf3\xbfK\x08,\xec\xe7pS\x01|\xd9\xb6\x14U""","AES"
"Brave.","b'c\xea6\x1cn\x10\xdc\x1b\x80\x06P\xa7\xf5\xe6\xac\xa0@\xd7\xdb\xc6\xad\xcd\xc2\xcf\xd0\xbaD1\xf5\xe1t\x81'","AES"
"Is it far from here?","PkZoptgAbvAohbOVtiQpBsOhC1oy058V","Blowfish"
"XZ5f<rL0[/sT[=(<W","j8Qlj1rSvaWM5OR2atlDFFUKyEIFR4Dy","Blowfish"
"The frame of the Keartons’ is of bamboo, but I find white pine answers very well, the main things to be considered being lightness and portability.","eikZnfGYy4CQi7DhBnqB8dc8m0b4f7vNKSG8linu92Jv1xJCX+1rx2KgreIjhZ+FlU3DzM07iTZudM8ejWtmPttoHMv1RIiPQ4DN3ND85dlA2jDDj/YfxxGS2D6o5cl6rLfoYViKLdemD7OIyNPISNLztbPbhz2oUXz64LY0RAcBlq7vii0JJzn1IE8BBJhch12Ymsq+hME=","Blowfish"
"How long is the flight?","DIH+Ue+ZaxdSaTkHFgVhIl53YdH+SSmr","Blowfish"
"com","b'@\x7f\xf5'","ChaCha20"
"You are the author of your story—write it with passion.","b'2\xff5y#\x8b\xac\xbeqh_\xed\xf3kV\x91\xd1\x9cQT\xbf\x87(J\xcf-\x0fiy\x1fJ\xa7\x93\x01<\xaf{\xf9<&\x1bu\xa3\x02\x8b+\x8bB\t\xd5\xf5CL\xc7\x13\x95\xa5'","ChaCha20"
"A good heart and a sharp mind are the perfect combination.","ugRmUIq0X70n0lBeAM121shuyoArrtRELIexGiajXkFLboQE5jEUkfR5Q5RvU/qTPm5vpDr0o0vq/f7ELdRqaQ==","Blowfish"
"We need to either dispose of it properly or donate it for recycling.","BN/UCpLAEoZV6xAqlPydCTyzpnRKly1Yoj7TNuAKjAgD4lB3YHDrojsM8F+xM3YDJYOOJT5fVrP60WwLlM9BKBxPbht4qneD","Blowfish"
"Negatives are frequently secured in which the figure of the bird, while small, is sharp, when, by enlargement, a desirable picture can be made of what in the original was too small to be easily distinguishable.","+rYqZ4ZBg2VQoa9QZwN3oCIUcV98VekYEEWfcKtx0/yamgpZ4jXU8yl8ZNSVbJUUn6HY0/nQuaJuf5CiIPtadeuTNiw5jBbixvapjWY60ZRPqVuMMkY8pKVcoQxianaB03vBLXFxwEYqAlQ/ppA2PIcMoPP/B9qHNutStOHsYfDlMPV37YU85CLVYkDsPysFWqlEvghjc6s+7aucisIfU5Rgjj93bmDTAi242/4v6q/zHC25VtL9HFimP5D/mrYcaB3Qs6eqiyEjEYprgU1m1Db/ExafDC6/","Blowfish"
"Where is the nearest ATM?","PPOncWsKy1x8IFYPztPPqVlTvnmVnRKqzx6rK74kz5w=","Blowfish"
"zO]<r]hm:h","b'\x8f\xba\x80\xd8\x06\xe3\xffQ\x82\xa3'","ChaCha20"
"The shape and pattern of markings of the eggs may also be well shown with the camera, while the appearance of the young at birth, their development, and often the manner in which they are fed, may all be portrayed by the camera with a realism which convinces one of the truthfulness of the result.","b'\xc2\t\x81\xc0\x9e>)\xb0K\xf2zHA\x18\x94\xe7\xa5\x1bQ\x1c\x8a:(\xc2}\xb4_6)\x81\xce\xf8#\x95NL\x95\xd0o\xa1\x98\x14\x8f\'\x9f`\xb7\xff\xb7\xad\x1edq\x04\xac\x8c<:X\xc3\xc1\x80J\xacbSok)\xe4\xf8d\x92\x94\xcd\xa5\xf1\x17<\x04\x92t\xc7+\xa0\x87\xde\xfc7}\x91\x9f`\x14$\xa7;\x9dL""YH\xf4\x02\xe9\xee\x81C\xf8\x97N\xc82\x1d\x00Z\x07-\xc8yA\x94\xed\x89<3\x85\xb0x\xa7\xf2&\xc6A\x9fk\x03\xbe\xa6P\n\xbb,\x0b[\x85\xfe\x1f\xef\x17/q\x99\x08\xc3Zx\xeb\xe6v\x9fv\xe1\xd1\xfa\xc5\\\xca\x08(\xac5J\xb1Q\x1a\x16\xb8\xcb\'\xc7.\x8f\xb4\x89n&..u\xb6;3<H\x11\xban\x8b\x9es\xfa;\xd7\xb6C\x08""\xae\x13~\xb5\xc3\xf7@\x0c\xe8\t\xbf\x05s)+E\xf3\xfe\xe1K\xc9\xdd]\x81\xa3\xfe\xf1S\xa3\x86\x95\xec\x88J\xf1\x9e\xdc\xc3\xa5\x12_\\\xbdW\x08y:jUE\x16\xe1\x8fB\xdb\xf6~\xab4\xd2hch\x89\xd4\x05\xde\xfd\xf0\xd54\xbd\x05a\x90\xf0\xdb\x7f\xa4V7_\x1e\x17\xee\'O\xf5<\xda\r\x91\xe9\xb5\xb7q6z\xf0\x93\x9a\xff\x04\xe7\xb0\xc4}\xda<\\\x0e\xe1'","AES"
"Never quit.","b'\x84\xc4\x17o\xaa\xc9\xd8\x7fv\x10k\xbb\xfc\xdf\x84\x00\xbb[\xcb\xd1(+\xde\x1di\x04w\x96\x00\xa4\xd5\x98'","AES"
"As a matter of information, however, it seems eminently desirable to accompany all enlarged pictures by a statement of the extent of their magnification, and throughout this book this plan is followed.","b'\xbfhV2y\x81\x98]\x1aj\x06\xeb\xba\x1a\x12\x91)-+\xce\xd7\xc3C\xed\x1aJ\x98\x11|\xb0^\x90q\xaf|\xb1=\xe1\xb0\\\xe7\xdd]|\x15}\x949\x0f\xb1d ]$\x95\x02\xd6^5\x82W\x91\xa3]\x1a\xf3]\xacnA`\xc8\xf3\\3\x96W\xfd\x9f$\x05y\xee\x1e\xc8\xea\x8e[\x9d\x1c\xba\xc3\xeb\x1b2U\x10\xcdM\xe3\xae\\\xa8\xe3\xc4r\x12\x1e&U\xf9\x80W[\x84\x92\x1a\xee\xdb\xcf\x94d}\xd5\xa1\xd8\xe6j]qV\x993\x0bL\xe4-H\x16qE+l\xb7\xd4b\xd8\x80\xaek\x07\x8eq\xa0~j\xb7A\xecu\xc7\x7f\xf9\x9b\xcd\xd7\xd3\xc1\xd2\x96<BjX\x1e\x8d\x15*B\x11\xc8\xce\xb68\xe5\xb1k\xed-\x8d\xea\xe6C\x16TLO\xfc\x1b\xc4\x9b~\xf8\x86\x07\xbd\x0e\x17\xe2\x94\xa2K\xa9\xdb\'M\xf9""\xbaw\xcaD<\xbe'","AES"
"6[JT?/yoViDljj?","b'\xc2\xb9,.\x19[\xeb\xb9*\xa7c\xb7\x96\x7f;'","ChaCha20"
"Every setback carries the seed of an even greater comeback.","l2ynYofTrssKJbUrZJbXNgUpV4qZQXuKt2S6icWYYdDrOVuUDaGY9Sor++ZgS90W/y4kEot6x92bz8yHyPeIsw==","Blowfish"
"\&eJe4L7Qw","lnB2gt7Jj3Hb9FsdyGQPAA==","Blowfish"
"S;\n[J^m\$Rhg;2","b'c\x18r#\xc9\xcbx\xc4F\xff\xb8\xb8B\xe9\x9b'","ChaCha20"
"It’s next to the bank.","fM25N5ryLqlVH0853EsBS1orRL+Jijz8SYdSNTKjmV0=","Blowfish"
"Let’s go for a walk.","b'\x10\xc7W \xaaA\x02\xed\x8d\x99OV\xa6\x96\x8c\x8c\xe9/\x818\x1dP\x15X\xfe\xd1\x8a/\xdf\xb4\xab\xe8\x0e\xec\xd6\xf1\xa2^Qq\x1e\xdc\x83\x00g\xb7\xa6\xa1'","AES"
"The World Wars reshaped national boundaries and changed world power dynamics forever.","b""\xb7F\x14\xec\xben\xa5\xb7R!\x1bq\xae\xa6{\x0c\xd1t*\x85'Z,4\x13j\xac\x11\x188\xc6?n\x0f\xb4\x84\xfa\xc5\x8aR\xae\xc8\x9d\xde\x01\xf5\xea\x7f\x19\x84\x89\xc0\xbeB\x99\x19\xff\xf0\xe5\xd8\xe3\xce \x82h\x80>\xe0\x1a\x1e}\x1f\x83\xeaS\x98\xf6\x9b\xc8DL\xdf\xa2hI""","ChaCha20"
";Mmq_sZ7;K(xwB-ydC","b'\xe4M&\xa7JC\xd7b\x0bf\xa0\x9c\xd9\x1d\xe9\x1d<\xad\xc6K!\xbdU\x1e\xa7\xe1\x13Y\xbe\xfcP>\x94F\x83\x1a\xf4,\xf1z\x01([\x8f\xf2\xd7ZH'","AES"
"What is the nearest landmark?","b'\xa6\xdf\x93\xd1\xb5\x14\xc4\tj#\x93J\x86\xcb\x125b?\xad\x17\x84\x8d\xfe\xf0\xe1\x1aj\x88\x81\xe0\x8f\xd3)\x0cIb\xbbC\xaf`E\xca\x19+\xfb\xb0Z\xdb'","AES"
"aec=j{Y::G#m","Mv0uvpiCNg20H49j5QKpSw==","Blowfish"
"I am sorry for the inconvenience.","b'KPa\xd3\xf3_\xca\x18\x0f\xba6\xc8\xef\x11\xf1\x15\x9df\x1f\xfd2\xbasp\x87\xf9\xafnP\xbd\xeb}6'","ChaCha20"
"Pollution is the presence or introduction into the environment of a substance or thing that has harmful or poisonous effects.","cHTnvMZesFnXRyD3htTxzi3g42BEXl5Cy2FLPLnZQi57q0XxuqNekxb+QTCrSYyMwEt2ZhNbuntQjKo46z1+5L1Ql+S6oc+lDBLi5CBArVvCjcHhS5H2N+Qqy/nwKII2YV5Pwirg2D+v6pY6gzvXFx7csVKbtDRiC4JGwFWqNUA=","Blowfish"
"A positive mindset can transform failures into valuable lessons for future success.","b'\x9aL?\x95\x1e\xa30\x9f\x02\xac\xe8\x03s\xe7\xe1\xad0T\xd8i\xb8_+\xb4\xb0\x17\xca[\x04\x9c.\xff\xb0\x8e\x92X\x02\x05~zK5\x18W\xf3\x1eX\xa7\x95\xfb\x87\xe53/\r\xfb\x9d+\xa0/\x8d\xe5\x94\xfa\x06\x94s\xe0\xf6\xea\x94\x07\x96H\xdd\xa2\x85\xea\xdb\xb94\x05H'","ChaCha20"
"Thrive.","b'\xffrYR#s\xf7'","ChaCha20"
"The only real limits are the ones you place on yourself.","b'V6\xcfO\x1711\xa1\xb3E(=\xee\xb7e\xd5\xbb\xec\xdc5\xcf\x1d\xb84\xec\xba\x02h\xe5\xab8r\x08\x18\tA\xcdR\x13\xaa\x01\xb1\xce\x1e\xabu\xfc+\xef6v|\xe4\x01m\xf0'","ChaCha20"
"I need to buy some milk.","O2CTEMz0rmkVCOqfHL8tP/z+jvkTNaHOSYdSNTKjmV0=","Blowfish"
"I need to see a dentist.","b'\x1c\x06\x18\xe1\xde?\xd7\x8a\x8b\xf8\xb8\\\xf1\x92\x89h\xcd\xe0L1Gq\xf4<\xe22FZd\xcd=_ZQ\xc2Y\xd62\xd4\x9e\xc4\x08\x1f\x8d\xb5\xf6@ '","AES"
"With the former the most rapid exposures can be made successfully, while the latter are sufficiently fast to permit of ordinary instantaneous work.","b'\xfe\xbd\xa1O\x9a\xb6zv\xe3c\xd6\xf3\x9e\x80\xf1\xb3}\xbc!\x12\xf9\xd2\x98\x85\xed/fFy\x85g7\xd3\xae\xbdA\x12\x1d\xb5\xcc\xd4A\xb6\xba\x86xK\xa45\xc8\xc2wC\x14\x87\xb4\xd2\x99:\'\xd4\xa0D,5\xd4\x8a""\xe8\xc38\xd9\x7fF\xb0\xa7\xee\xcb\xe4\xec\xea\xa8z;\x9e\xb6\x03Q\xf12\xa9J\x9b\xc3\x10\x11,\x1d\xd6\x8bp\xe8-\x81\xf6\x9d\x90 \x81@[*c\x1bQ\x03\xb7\x0b>^\xb4\xce\xc6|\xce\xaf-!k\xe0\xd5PEv\xe4\xe6o\xb1ZR\xc0\x95<\xa6\xc6\x14\xee'","ChaCha20"
"Similarly, the particulate matter emissions will come down by 80% in cars.","b""r\x9a\x97\x06\x9em\x07w\x8f\xbcz\xf5\x06+\xef[?=Y\xec-\xf0pj\xb1,@\xe01C(\xfb\x17\x95\xeb\xb7\xa5'h\xbc\xb0\xf9\x8a\x9ck\x10\xdb\xe4\xce\x0b\xa2\x94I\xe5o'\t\x18fzi\x10\xa3\xad5\xccTE\xd1\x9fK\xbc\xfd\xdc""","ChaCha20"
"Can you send me the report?","5uf82NQy4b2ijx6RRp+PPhhK3ohbLXQ/Qa59sV9l5fI=","Blowfish"
"Vkq:>ku\_pjz2S\D!H","b'\xbe*\x04\xb1H\x9b\xec\xcf\xcf\x8a\x88g5\xb5\xfc=F\x94'","ChaCha20"
"8; twenty-one-inch bellows; one second (½ second was later found to be full time).","b'\x95\xd7EU\x0c\xb6A\xbd\xad),Hf\xd4\xef\\\xea\xad}\xdfxM\xc9\x10\xbe\xce\x03\xf5\xa0\x7f0\xa6\xcdF\xc1\xa0\x1e\xb7?&k\xe0\x9d\xae\xb0\xa9*\xf2%G\xb6\xe9\xed]\xe1#(cW\xbb%\xc6\x07\xad\xc0R[x \xbe\xe0o\xc3\x81\x9e\x18\x8a%\xd4A\xd1\x8a\xfb=#h\x89\x1bpT\xb0\x88w\xdf\xc6\x8dHp\xd2\xbd\xccY\x9e>\x7f\xc7\xe7\xf6\x18F\xcfD'","AES"
"P7zJ+KeBrv2}2+Q<}W","JZjJacZNWCXPVHWo0dumms/hhTi7NH7c","Blowfish"
"Passion makes the impossible feel achievable and the difficult feel easy.","b""#G?\xa5\x13,\xf9\x0cs\x9d'\x9d\xfd\x8cI\x9aF\xf8*\xfaH\xcc5@$\xa4\xd9\x12\xacU\xa7\x04\xba\x91\xf2\x81\xef W\xa8-6lR\x18{\xda\x00^.\x06C\x15\xc5\xf1q\xc3\x9e\xc9\x08\xcc\x98,\xcd\x9eK\x9d\xc17\x8a \xfa\x8a""","ChaCha20"
"Do you want to hang out?","b'\x01\x04*8.\x02\x83\x94\xb1=X\x828\x91\xad\xc1\xd5}?Q\x93\xf6\xf9Wd\xad\xf1\xb6\x89\x0b\xb7v9s\x9f\xed\xcaO\x1a9\xfb\xc2\x9e\xbb\xb6\xea\t\x9e'","AES"
"What size do you wear?","tI1vwo9k6NK5LStcHvUpxBEsDtZdlClZ","Blowfish"
"Can we discuss this later?","OYCCregNEZC+ynWRX3PgtGKMv+jz1UcH3ktBJD9dI/0=","Blowfish"
"Do you want to play a game?","iXzPuwo90azV0cRNXvhnQyQsew+n9rBJwz8VegZ1/QA=","Blowfish"
"Air Pollution:","EhtyWNmAJNDit7RJxv3M6Q==","Blowfish"
"Rise again.","b""v[\xc8\xe2\x90\xd28\\h\xb0\xdfw\xc0\x07\xb07&'\xcdJnj\xad\xa0!D\x95J\\~\xa4\xb2""","AES"
"e0EmAOv#ow]a{/AH%","b'h\tQ\x9f#c\xe3z\x1e\xf6\x13\x98\xc0P\x9b!j\xe0\x0e\x00\xa6\x0f\xad\x82\x00\xb9\x0e\xc03\xa4\x84\xb4\xd3\xa4Ee\\\xaa \xf6\xef\xa5`q\xd0\x08\x8c*'","AES"
"The reflecting camera, as before stated, is fitted with a focal-plane shutter, and, as described, it is released by pressing the lever, which raises the mirror.","pq7Lgts9682gseiqBE8XAw5MgbazoKxmLX7k+gmdurHAg4djN9dYHbt99EuEDafG6lsRCQxj756SxD8XoyxNRbzSozaq0F/2ziOaC3smc1VLJ7gjCXIEwYarT+/wSyJsA/AXEGghGz8WaS+eEjyXrBZT5M6i68WYWVStG9z8ZRbDalldXdpNfAK7ovl937mjJMISr+1e9nzim941k1lVGEmHUjUyo5ld","Blowfish"
"An apparatus connected with an automatically fired flash-light, has been employed by Mr.","D2utApKjjBRX9MmkcgILBPcWjruSXSNCon25DtG0hnHTubB9/MHyO6DrZjwKyISyUlD+PKXJUiQHhVX64TAIuQXjYRtIrBHVsMsAKN/WrTjQeIWyiLJLHkmHUjUyo5ld","Blowfish"
"Ignite.","b'+\xbe\xd8{\xd4\xc2)'","ChaCha20"
"Stay resilient.","LnjmgHzb0kpVJ0WcKYAksA==","Blowfish"
"Air Pollution","b'\x8e\xf3\x1e\xbfs\xea\xb6\x0bO\x01\x1e \xd8%\xf0\xd5 \x04\xb1R(\xc2\xffgO+8\xc6x\xcd\x1a)'","AES"
"Is there a hospital nearby?","b""\x87\xc9(\x0c`9'\x8b\x19\xb5\xd7\xd3SrT\xab\x90\x958\xcd\x98\xdd\xd33QZ\xa7""","ChaCha20"
"Shiras, of Pittsburg, in photographing deer at night, with phenomenal success.","UuJ8LqbwMNeJ5KxH4oBYrgYYWPUNrGl8TToTY4BOJhB1k9R6NeEZxTNFsKMDHfbdP1vzW9d0hyV8IU7vAxksFP8qgriY290yvJUIyzd3vwU=","Blowfish"
"Love more.","b'\xeew\x8d\xbd\xb4\xa9#%\xf9~\xfa\x1c@$\xef\xb5\xd8~\x00\x82\xb0\xfa\xc3\xc1\xd7Ix)\xd8\xc0\xdd\x9d'","AES"
"I think this is a bad idea.","5nhqrinJhcj9jmY49ydPYxruDShHoZCz8YintPDMfBY=","Blowfish"
"To fully meet these demands of distance and time two lenses would be needed; but, aside from the increased cost and the inconvenience of 11using two lenses, the great size and weight of a long-focus lens are drawbacks.","FSbYnC0RDRfJOEU71PWF0908P8LcFQsX596nTKW5yrhVzO4Sm92EStr0rKc8mv8ncwGxuSMEZEgBwAlIUdlNFm4rPj8PLSuSiALfEHY+so6hLqH7zJSZy832mhMfc5a8l3id7Sruaep1BW3vF1GDWhujzuAXdDF84ehYp4yF6TjLashQ1lmUutuqSWD2/VYqcwGxuSMEZEgpASwixu4hY5962UWrFjWxDeo0F5J7SzuAIwk9dsIZUK3zwMd9o/ObGez9I8c7kMVRt85BR+3+xJmTFVl3S6HQuzDfM6+L6FU=","Blowfish"
"Although it is an issue that has been prevalent since ancient times, in the 21st century its harmful effect has been felt on a large scale.","b'\xa9\x94\xe7Y\xab\x03=\xc4\x0f\x1eb\x90\xc9z\xd2\xa0\xafN\x0b\x0f\xb4!\xc5u\xe5KB\xeb\x9f\x80\xd6\x84\xca\xbb\xf6\x9b\xe1R\xb6\xfb]v\xe4\x15N~\x12\x98\xd4\xa2\x93\x84\xd8\x89\xd0\xdf\x8f\x89\x85\x8e\x8b\x1c\xb5\'\xf0\xe2\xca\xbb\xc1Im\x11\x01\xbd\x98W\x93\xd5\xf0\x1f\x9f3k\xa3\xef\x10\xba\x08\xb6\x91\xb5\x06\xd3\x8b\x86\x0fN\xed\xb4\xf2-2E\xa9\x0c\x8a\xb6\xa1G@1Iw\xb4\xa2\xb1\x17\xbeB\x95\xfa\xbak];\xf7\xfe\x96\xa5\xea\x85""t\xb8*\xdf\xed\x024Q\x17\xd0\x04\xda\xeb\xb2\xb1t\xa0\x17\xfbL\x98K\xbeFu\x02\x9e\x1d'","AES"
"The Kearton brothers have an “adjustable miniature” on the top of their camera, which they state “is used as a sort of view finder when making studies of flying birds.","b'\x1f\xcb\x96\xb7\x00h\x88M!YxZ\\\xb3\x15\xb6\xf6\\\xa4G\xe7R*\xab\xaa;\x0eeK\xe9\xbe,\xae\x15a\x90C\xd5\x1bP:\xfa\x8c\xc9pM$/k\xd7\x07\x9f\x86\xa5\x1c\x18\xe2\x07\x15\xd0\x03\xd2\xfa\x83\xe3|{\xd3X\x86Jp@\x97k@ \xcf^t\x05\x12e\xfb\xf2${\xb0\xf6\xec,\x06\x08""\xbb\xdf\xd9\x8dN\x15\x91\x9f\n}\xba[F9!\xa4,\xee\xf6\xa9\xca\x99C\xc0\xf7\xac\xbaG\xa0\x9d{ha\x82\xbc\xa7\x15x\xf2~Y\xbf-\xcd\x11m\xd1k\xb8E\x80Li\xe9N\xfd[-5\xc1\x8f\xcd\\=S\xa6\xce\xbb\xd6?\xcdp\xa0\xf8\xa9\x00`\xac\x04\xaf\xf5\xbfV><\xb4Y\xa2\xef\x9b,i\xb8\x02\xf3x\xad\xc2'","AES"
"{R-~Tb4BB<0*D|Z","b'%\xfd\xe0\xba\xbeP\xa4c\x81&\xdf\xf9\xfa\xa5\x7f'","ChaCha20"
"\FC=8\0(LBdwr(","b'\xcbf(\xfao{\xd9Q\x8f\xeec\xe5\x17*\x9d\npR\xb9.{\x92/\xecl\xc2[\x9fe\xa5\xd4\xd1'","AES"
"A meaningful life is built on moments, not material possessions.","b'8\xb8\xf2p\x1c\x14\xabe6&\xf6\xd7\x01\xe5\x1b\xd6\xa5\xf6s`9\x19\xa9\x91()C\x0cm\xf3\xe3\xb6\x87\x0c\xf95*\xe6\xac\xcfIW\xdb\x8f\x91uw\xfe\xd5RGZ\xea]F\xd5\xf1\x89\x13\x9a\xbf\xeerG'","ChaCha20"
"The companies said the new venture, which was in the works before Trump took office, had $100bn in funding available immediately, with the rest to come over four years, creating an estimated 100,000 jobs.","D6k0Q4s8DPpfoTc0kFVBEFsNraJzNUihCP7jZ8ho+a0FlPFyyBBKkV6Ujqo6TYyvFAieG063R/6nPJFEExmitB1fNTPF8CJAjHoKY1hQW6GxrGRWhPyma/o8A4JXLDQ4+gGNN9BfpbBh1mf76mEHwkBOomwBNd7rv1FQ/m7Ck44E/iwl5o+KUU8mTETzb3PusSJ+Iq6txfNN4ivG5ErwaYWdine3lsclSXtFFASoGRllNUcDFeniGqNyw9FA6klNsFsJ9OgaH89Yv5pseD3g6A==","Blowfish"
"fvA6s&^H>QQ:fnCN_e@&","b'\xb0\t\x17k0\xeceN\xeb^BX\x9a\x18\xf5\x97\xc1\x8ba\xdd\x1c{\x8f\x9f\xf7+\x8b[|Ew\xb11\x82@>H\xb4PA\x89\x7fy\xa4\xf5Bu='","AES"
"C""~""]I%|$G","RSE5xEmK3wFk7IUPJ1MOGw==","Blowfish"
"It is important to reduce noise pollution and protect against excessive or unwanted noise to ensure the long-term health and well-being of people and wildlife.","b""*2e$\x9e)\xc3'\xd3\xfe\xde\x012\xc6\xe1hm-5\x193ht\xa2\xfeT\xc3\x94\xb6\xeapP\xd7(j\xaf%i\xf6\x99\xf2`\xe8\x99\xfb\xf8\x92\x18\xfcx\x9e\x1c}\x00\x9a\x17wqW\xc2:\xb0\xb6\x90\xc8\xbd\xf6\x1b^\x8b\xd6\xb9~\xb7\xd6\x1a\xf3\xbe\t:\x12\xd1\xd1\xb3\t\x96J\xe3\xf59\x1f\xa3U\x9c\xefs\x81\xcd\x7f\xea\x9e\x8d\xd3B\xed\xf3Z\xfb\x8fs\x0f\xabAUI3\xe2\x8f\xc4\x0c\xf7\xd6\xb7WB\x82\xdf\x18\xdc\x16*Lh\xb6g\xaf\xb9\x14{\xfa\xa2\xd2&\x10>\xcd\x8f\xa6\x86/\xe6\x02\xac\x07\x16;\x92\xb93""","ChaCha20"
"It’s foggy.","b'&\xc8?PrQ\x87\x16\xda\x02\xb5\x03\x86'","ChaCha20"
"Stay curious","616f1A3mKSbHqHpksBpnIQ==","Blowfish"
"Stay true","b' -\xd7\xb6\x9ac8\xf4='","ChaCha20"
"Take risks","b'\x00\x04\x18\x19\x8bT\x01\xef\x9aK!+\x97\xcd<\xeeP\xce\xb7q\xb7\x92\xd51\xd2\xe0\xc8\x90d\x0c\xc3)'","AES"
"6[JT?/yoViDljj?","yRWyoSVrln5N3tRv7DgQPg==","Blowfish"
"Success starts with a vision and grows through action and perseverance.","b'R!\xb5\x10\x18\x9eZCdx\x99~^]\x90\xc5a\x16\\\x96O\xaa\x8e;\x96\xa0\x87\x00\x895\x05\x18\x01|\xa8 \x18l3\x01\x19\xa8\xbaq\x8b\xd5\xf9\x0c\xc7f>\xcbY \x13\xe6r\xf8\xd4\xebY-6\xc7N\xf5\xbb=\xa3\x12q\xf1\xd9\xaa\xa8\x8e\x94\xcdb\x10\xb9\xa8\x18iS\xe0\x88\xfb\xbe\x8f\x84\xb7\xe8\xf7\xa0\x8d'","AES"
"4)yGS$QyA+W]~lggO3","b'{\x95\x06\x8c\x012\xe1\x93-q:\x02\xfdT+\xbe\x87\xa1\xe0*\x16T\x8cS\x0bW\xb7\x0ee\xb3\x00x9\xd5\xad\x9a\xb54\xae\xa8\xbb\x9e:B\xf5Z\x9a\xaa'","AES"
"I apologize for any trouble.","b'\xb1\xea2\xa0(h\xf1}\xa1\xc4\x01<\xfe\xa7\x80j\x19\xfe\xf0K\xef{\xfagT\x12\x9e\x944h\xa4\xebR\xd0\x93QXt\xd1T,%\x1f\xd7\xe3M\x1e>'","AES"
"Your thoughts shape your reality, so choose them wisely every day.","b'\xa1\xf9kG\xf2\x80\xfc\xce[\xd3q\x7fB\xd4\xe7\x1a\x8ei\x95\x19\xc5zP\x8d\xefqA,N\xb1\xf7\xa0L\xe2\x8f({r\x85\xfeF\xdc\x11\xe62\x8fk)\x8c\x07\x15\xec9R\xaf\xde\x88H\x17*1\xdc\xb4|4\xf0'","ChaCha20"
"AK0Y+CEkz!","b'I\xf8V\x03""=\x82N,\xd7'","ChaCha20"
